district_code,incumbent_label,party_label,pres24_dem_pct,pres24_gop_pct,pres24_dem_margin,pres20_dem_pct,pres20_gop_pct,pres20_dem_margin
AK-AL,Nick Begich,(R),41.0,,,43.0,,
AL-01,Barry Moore,(R),22.0,,,24.0,,
AL-02,Shomari Figures,(D),54.0,,,56.0,,
AL-03,Mike Rogers,(R),26.0,,,29.0,,
AL-04,Robert Aderholt,(R),16.0,,,18.0,,
AL-05,Dale Strong,(R),35.0,,,36.0,,
AL-06,Gary Palmer,(R),30.0,,,30.0,,
AL-07,Terri Sewell,(D),61.0,,,64.0,,
AR-01,Rick Crawford,(R),26.0,,,28.0,,
AR-02,French Hill,(R),41.0,,,42.0,,
AR-03,Steve Womack,(R),36.0,,,37.0,,
AR-04,Bruce Westerman,(R),29.0,,,31.0,,
AZ-01,David Schweikert,(R),48.0,,,50.0,,
AZ-02,Eli Crane,(R),42.0,,,45.0,,
AZ-03,Yassamin Ansari,(D),69.0,,,75.0,,
AZ-04,Greg Stanton,(D),53.0,,,54.0,,
AZ-05,Andy Biggs,(R),39.0,,,41.0,,
AZ-06,Juan Ciscomani,(R),49.0,,,49.3,,
AZ-07,Adelita Grijalva,(D),60.0,,,66.0,,
AZ-08,Abe Hamadeh,(R),41.0,,,43.0,,
AZ-09,Paul Gosar,(R),34.0,,,36.0,,
CA-01,VACANT (LaMalfa),(R),36.0,,,39.0,,
CA-02,Jared Huffman,(D),71.0,,,74.0,,
CA-03,Kevin Kiley,(R),47.0,,,48.0,,
CA-04,Mike Thompson,(D),64.0,,,67.0,,
CA-05,Tom McClintock,(R),40.0,,,43.0,,
CA-06,Ami Bera,(D),55.0,,,58.0,,
CA-07,Doris Matsui,(D),63.0,,,67.0,,
CA-08,John Garamendi,(D),70.0,,,76.0,,
CA-09,Josh Harder,(D),48.0,,,55.0,,
CA-10,Mark DeSaulnier,(D),65.0,,,69.0,,
CA-11,Nancy Pelosi,(D),82.0,,,86.0,,
CA-12,Lateefah Simon,(D),85.0,,,89.0,,
CA-13,Adam Gray,(D),46.0,,,54.0,,
CA-14,Eric Swalwell,(D),66.0,,,72.0,,
CA-15,Kevin Mullin,(D),72.0,,,78.0,,
CA-16,Sam Liccardo,(D),72.0,,,75.0,,
CA-17,Ro Khanna,(D),67.0,,,73.0,,
CA-18,Zoe Lofgren,(D),63.0,,,71.0,,
CA-19,Jimmy Panetta,(D),65.0,,,69.0,,
CA-20,Vince Fong,(R),34.0,,,36.0,,
CA-21,Jim Costa,(D),51.0,,,59.0,,
CA-22,David Valadao,(R),46.0,,,55.0,,
CA-23,Jay Obernolte,(R),40.0,,,44.0,,
CA-24,Salud Carbajal,(D),61.0,,,63.0,,
CA-25,Raul Ruiz,(D),50.0,,,57.0,,
CA-26,Julia Brownley,(D),55.0,,,59.0,,
CA-27,George Whitesides,(D),50.0,,,55.0,,
CA-28,Judy Chu,(D),62.0,,,66.0,,
CA-29,Luz Rivas,(D),66.0,,,75.0,,
CA-30,Laura Friedman,(D),69.0,,,72.0,,
CA-31,Gil Cisneros,(D),57.0,,,64.0,,
CA-32,Brad Sherman,(D),64.0,,,69.0,,
CA-33,Pete Aguilar,(D),53.0,,,62.0,,
CA-34,Jimmy Gomez,(D),73.0,,,81.0,,
CA-35,Norma Torres,(D),54.0,,,63.0,,
CA-36,Ted Lieu,(D),68.0,,,71.0,,
CA-37,Sydney Kamlager-Dove,(D),79.0,,,86.0,,
CA-38,Linda Sanchez,(D),56.0,,,64.0,,
CA-39,Mark Takano,(D),53.0,,,62.0,,
CA-40,Young Kim,(R),47.0,,,50.0,,
CA-41,Ken Calvert,(R),46.0,,,49.0,,
CA-42,Robert Garcia,(D),64.0,,,72.0,,
CA-43,Maxine Waters,(D),73.0,,,81.0,,
CA-44,Nanette Barragan,(D),65.0,,,73.0,,
CA-45,Derek Tran,(D),49.0,,,52.0,,
CA-46,Lou Correa,(D),57.0,,,64.0,,
CA-47,Dave Min,(D),50.0,,,54.0,,
CA-48,Darrell Issa,(R),41.0,,,43.0,,
CA-49,Mike Levin,(D),52.0,,,55.0,,
CA-50,Scott Peters,(D),63.0,,,65.0,,
CA-51,Sara Jacobs,(D),60.0,,,62.0,,
CA-52,Juan Vargas,(D),59.0,,,67.0,,
CO-01,Diana DeGette,(D),77.0,,,80.0,,
CO-02,Joe Neguse,(D),69.0,,,69.0,,
CO-03,Jeff Hurd,(R),44.0,,,45.0,,
CO-04,Lauren Boebert,(R),40.0,,,39.0,,
CO-05,Jeff Crank,(R),44.0,,,43.0,,
CO-06,Jason Crow,(D),58.0,,,61.0,,
CO-07,Brittany Pettersen,(D),56.0,,,56.0,,
CO-08,Gabe Evans,(R),48.0,,,51.0,,
CT-01,John Larson,(D),61.0,,,63.0,,
CT-02,Joe Courtney,(D),53.0,,,55.0,,
CT-03,Rosa DeLauro,(D),56.0,,,59.0,,
CT-04,Jim Himes,(D),61.0,,,65.0,,
CT-05,Jahana Hayes,(D),52.0,,,55.0,,
DE-AL,Sarah McBride,(D),57.0,,,59.0,,
FL-01,Jimmy Patronis,(R),31.0,,,33.0,,
FL-02,Neal Dunn,(R),41.0,,,44.0,,
FL-03,Kat Cammack,(R),39.0,,,42.0,,
FL-04,Aaron Bean,(R),44.0,,,46.0,,
FL-05,John Rutherford,(R),39.0,,,41.0,,
FL-06,Randy Fine,(R),35.0,,,38.0,,
FL-07,Cory Mills,(R),43.0,,,47.0,,
FL-08,Mike Haridopolos,(R),38.0,,,41.0,,
FL-09,Darren Soto,(D),51.0,,,58.0,,
FL-10,Maxwell Frost,(D),61.0,,,65.0,,
FL-11,Daniel Webster,(R),41.0,,,44.0,,
FL-12,Gus Bilirakis,(R),32.0,,,35.0,,
FL-13,Anna Paulina Luna,(R),44.0,,,46.0,,
FL-14,Kathy Castor,(D),53.0,,,59.0,,
FL-15,Laurel Lee,(R),44.0,,,48.0,,
FL-16,Vern Buchanan,(R),42.0,,,45.0,,
FL-17,Greg Steube,(R),38.0,,,42.0,,
FL-18,Scott Franklin,(R),35.0,,,38.0,,
FL-19,Byron Donalds,(R),35.0,,,39.0,,
FL-20,Sheila Cherfilus-McCormick,(D),69.0,,,76.0,,
FL-21,Brian Mast,(R),41.0,,,45.0,,
FL-22,Lois Frankel,(D),52.0,,,58.0,,
FL-23,Jared Moskowitz,(D),51.0,,,56.0,,
FL-24,Frederica Wilson,(D),65.0,,,74.0,,
FL-25,Debbie Wasserman Schultz,(D),52.0,,,60.0,,
FL-26,Mario Diaz-Balart,(R),32.0,,,41.0,,
FL-27,Maria Elvira Salazar,(R),42.0,,,49.6,,
FL-28,Carlos Gimenez,(R),37.0,,,47.0,,
GA-01,Buddy Carter,(R),42.0,,,43.0,,
GA-02,Sanford Bishop,(D),54.0,,,55.0,,
GA-03,Brian Jack,(R),35.0,,,34.0,,
GA-04,Hank Johnson,(D),76.0,,,78.0,,
GA-05,Nikema Williams,(D),85.0,,,86.0,,
GA-06,Lucy McBath,(D),75.0,,,74.0,,
GA-07,Rich McCormick,(R),38.0,,,40.0,,
GA-08,Austin Scott,(R),34.0,,,36.0,,
GA-09,Andrew Clyde,(R),33.0,,,33.0,,
GA-10,Mike Collins,(R),39.0,,,39.0,,
GA-11,Barry Loudermilk,(R),38.0,,,38.0,,
GA-12,Rick Allen,(R),43.0,,,44.0,,
GA-13,David Scott,(D),71.0,,,70.0,,
GA-14,VACANT (Greene),(R),31.0,,,31.0,,
HI-01,Ed Case,(D),62.0,,,64.0,,
HI-02,Jill Tokuda,(D),60.0,,,64.0,,
IA-01,Mariannette Miller-Meeks,(R),45.0,,,48.0,,
IA-02,Ashley Hinson,(R),44.0,,,47.0,,
IA-03,Zach Nunn,(R),47.0,,,48.9,,
IA-04,Randy Feenstra,(R),34.0,,,36.0,,
ID-01,Russ Fulcher,(R),26.0,,,30.0,,
ID-02,Mike Simpson,(R),35.0,,,37.0,,
IL-01,Jonathan Jackson,(D),65.0,,,70.0,,
IL-02,Robin Kelly,(D),66.0,,,69.0,,
IL-03,Delia Ramirez,(D),65.0,,,70.0,,
IL-04,Chuy Garcia,(D),63.0,,,72.0,,
IL-05,Mike Quigley,(D),68.0,,,69.0,,
IL-06,Sean Casten,(D),52.0,,,55.0,,
IL-07,Danny Davis,(D),82.0,,,86.0,,
IL-08,Raja Krishnamoorthi,(D),53.0,,,57.0,,
IL-09,Jan Schakowsky,(D),68.0,,,70.0,,
IL-10,Brad Schneider,(D),60.0,,,62.0,,
IL-11,Bill Foster,(D),55.0,,,57.0,,
IL-12,Mike Bost,(R),28.0,,,28.0,,
IL-13,Nikki Budzinski,(D),54.0,,,54.0,,
IL-14,Lauren Underwood,(D),52.0,,,55.0,,
IL-15,Mary Miller,(R),29.0,,,30.0,,
IL-16,Darin LaHood,(R),38.0,,,38.0,,
IL-17,Eric Sorensen,(D),52.0,,,53.0,,
IN-01,Frank Mrvan,(D),49.4,,,53.0,,
IN-02,Rudy Yakym,(R),36.0,,,38.0,,
IN-03,Marlin Stutzman,(R),34.0,,,34.0,,
IN-04,Jim Baird,(R),34.0,,,34.0,,
IN-05,Victoria Spartz,(R),41.0,,,41.0,,
IN-06,Jefferson Shreve,(R),33.0,,,33.0,,
IN-07,Andre Carson,(D),70.0,,,70.0,,
IN-08,Mark Messmer,(R),31.0,,,33.0,,
IN-09,Erin Houchin,(R),34.0,,,35.0,,
KS-01,Tracey Mann,(R),33.0,,,34.0,,
KS-02,Derek Schmidt,(R),39.0,,,41.0,,
KS-03,Sharice Davids,(D),51.0,,,51.0,,
KS-04,Ron Estes,(R),37.0,,,38.0,,
KY-01,James Comer,(R),26.0,,,28.0,,
KY-02,Brett Guthrie,(R),29.0,,,31.0,,
KY-03,Morgan McGarvey,(D),59.0,,,60.0,,
KY-04,Thomas Massie,(R),31.0,,,33.0,,
KY-05,Hal Rogers,(R),17.0,,,20.0,,
KY-06,Andy Barr,(R),42.0,,,44.0,,
LA-01,Steve Scalise,(R),30.0,,,30.0,,
LA-02,Troy Carter,(D),65.0,,,67.0,,
LA-03,Clay Higgins,(R),27.0,,,28.0,,
LA-04,Mike Johnson,(R),23.0,,,25.0,,
LA-05,Julia Letlow,(R),31.0,,,32.0,,
LA-06,Cleo Fields,(D),57.0,,,59.0,,
MA-01,Richard Neal,(D),56.0,,,60.0,,
MA-02,Jim McGovern,(D),61.0,,,64.0,,
MA-03,Lori Trahan,(D),58.0,,,63.0,,
MA-04,Jake Auchincloss,(D),59.0,,,63.0,,
MA-05,Katherine Clark,(D),71.0,,,75.0,,
MA-06,Seth Moulton,(D),59.0,,,63.0,,
MA-07,Ayanna Pressley,(D),80.0,,,86.0,,
MA-08,Stephen Lynch,(D),62.0,,,67.0,,
MA-09,Bill Keating,(D),55.0,,,58.0,,
MD-01,Andy Harris,(R),40.0,,,42.0,,
MD-02,Johnny Olszewski,(D),58.0,,,59.0,,
MD-03,Sarah Elfreth,(D),60.0,,,62.0,,
MD-04,Glenn Ivey,(D),85.0,,,90.0,,
MD-05,Steny Hoyer,(D),66.0,,,67.0,,
MD-06,April McClain Delaney,(D),52.0,,,54.0,,
MD-07,Kweisi Mfume,(D),78.0,,,81.0,,
MD-08,Jamie Raskin,(D),77.0,,,81.0,,
ME-01,Chellie Pingree,(D),60.0,,,60.0,,
ME-02,Jared Golden,(D),44.0,,,45.0,,
MI-01,Jack Bergman,(R),39.0,,,39.0,,
MI-02,John Moolenaar,(R),34.0,,,35.0,,
MI-03,Hillary Scholten,(D),53.0,,,53.0,,
MI-04,Bill Huizenga,(R),46.0,,,47.0,,
MI-05,Tim Walberg,(R),36.0,,,37.0,,
MI-06,Debbie Dingell,(D),60.0,,,63.0,,
MI-07,Tom Barrett,(R),49.0,,,49.4,,
MI-08,Kristen McDonald Rivet,(D),48.0,,,50.0,,
MI-09,Lisa McClain,(R),33.0,,,35.0,,
MI-10,John James,(R),46.0,,,49.0,,
MI-11,Haley Stevens,(D),57.0,,,59.0,,
MI-12,Rashida Tlaib,(D),67.0,,,74.0,,
MI-13,Shri Thanedar,(D),69.0,,,74.0,,
MN-01,Brad Finstad,(R),43.0,,,44.0,,
MN-02,Angie Craig,(D),52.0,,,53.0,,
MN-03,Kelly Morrison,(D),60.0,,,60.0,,
MN-04,Betty McCollum,(D),67.0,,,68.0,,
MN-05,Ilhan Omar,(D),80.0,,,81.0,,
MN-06,Tom Emmer,(R),39.0,,,40.0,,
MN-07,Michelle Fischbach,(R),31.0,,,32.0,,
MN-08,Pete Stauber,(R),42.0,,,43.0,,
MO-01,Wesley Bell,(D),78.0,,,78.0,,
MO-02,Ann Wagner,(R),45.0,,,45.0,,
MO-03,Bob Onder,(R),36.0,,,36.0,,
MO-04,Mark Alford,(R),28.0,,,29.0,,
MO-05,Emanuel Cleaver,(D),61.0,,,62.0,,
MO-06,Sam Graves,(R),30.0,,,31.0,,
MO-07,Eric Burlison,(R),28.0,,,28.0,,
MO-08,Jason Smith,(R),22.0,,,24.0,,
MS-01,Trent Kelly,(R),31.0,,,33.0,,
MS-02,Bennie Thompson,(D),60.0,,,62.0,,
MS-03,Michael Guest,(R),35.0,,,37.0,,
MS-04,Mike Ezell,(R),28.0,,,30.0,,
MT-01,Ryan Zinke,(R),43.0,,,45.0,,
MT-02,Troy Downing,(R),34.0,,,35.0,,
NC-01,Don Davis,(D),48.0,,,50.0,,
NC-02,Deborah Ross,(D),66.0,,,67.0,,
NC-03,Greg Murphy,(R),39.0,,,41.0,,
NC-04,Valerie Foushee,(D),72.0,,,72.0,,
NC-05,Virginia Foxx,(R),41.0,,,42.0,,
NC-06,Addison McDowell,(R),41.0,,,41.0,,
NC-07,David Rouzer,(R),43.0,,,44.0,,
NC-08,Mark Harris,(R),40.0,,,41.0,,
NC-09,Richard Hudson,(R),42.0,,,42.0,,
NC-10,Pat Harrigan,(R),41.0,,,41.0,,
NC-11,Chuck Edwards,(R),45.0,,,44.0,,
NC-12,Alma Adams,(D),72.0,,,74.0,,
NC-13,Brad Knott,(R),41.0,,,41.0,,
NC-14,Tim Moore,(R),42.0,,,41.0,,
ND-AL,Julie Fedorchak,(R),31.0,,,32.0,,
NE-01,Mike Flood,(R),43.0,,,43.0,,
NE-02,Don Bacon,(R),52.0,,,52.0,,
NE-03,Adrian Smith,(R),23.0,,,23.0,,
NH-01,Chris Pappas,(D),51.0,,,52.0,,
NH-02,Maggie Goodlander,(D),51.0,,,54.0,,
NJ-01,Donald Norcross,(D),59.0,,,62.0,,
NJ-02,Jeff Van Drew,(R),43.0,,,47.0,,
NJ-03,Herb Conaway,(D),53.0,,,56.0,,
NJ-04,Chris Smith,(R),34.0,,,38.0,,
NJ-05,Josh Gottheimer,(D),50.0,,,56.0,,
NJ-06,Frank Pallone,(D),52.0,,,59.0,,
NJ-07,Tom Kean,(R),48.0,,,51.0,,
NJ-08,Rob Menendez,(D),61.0,,,72.0,,
NJ-09,Nellie Pou,(D),48.0,,,59.0,,
NJ-10,LaMonica McIver,(D),75.0,,,81.0,,
NJ-11,VACANT (Sherrill),(D),53.0,,,58.0,,
NJ-12,Bonnie Watson Coleman,(D),61.0,,,67.0,,
NM-01,Melanie Stansbury,(D),55.0,,,56.0,,
NM-02,Gabe Vasquez,(D),48.0,,,52.0,,
NM-03,Teresa Leger Fernandez,(D),52.0,,,54.0,,
NV-01,Dina Titus,(D),50.0,,,53.0,,
NV-02,Mark Amodei,(R),42.0,,,43.0,,
NV-03,Susie Lee,(D),49.0,,,52.0,,
NV-04,Steven Horsford,(D),50.0,,,53.0,,
NY-01,Nick LaLota,(R),44.0,,,49.0,,
NY-02,Andrew Garbarino,(R),43.0,,,48.0,,
NY-03,Tom Suozzi,(D),47.0,,,55.0,,
NY-04,Laura Gillen,(D),50.0,,,57.0,,
NY-05,Gregory Meeks,(D),70.0,,,81.0,,
NY-06,Grace Meng,(D),52.0,,,64.0,,
NY-07,Nydia Velazquez,(D),72.0,,,80.0,,
NY-08,Hakeem Jeffries,(D),71.0,,,77.0,,
NY-09,Yvette Clarke,(D),69.0,,,76.0,,
NY-10,Dan Goldman,(D),79.0,,,85.0,,
NY-11,Nicole Malliotakis,(R),37.0,,,46.0,,
NY-12,Jerry Nadler,(D),81.0,,,85.0,,
NY-13,Adriano Espaillat,(D),79.0,,,88.0,,
NY-14,Alexandria Ocasio-Cortez,(D),65.0,,,77.0,,
NY-15,Ritchie Torres,(D),74.0,,,85.0,,
NY-16,George Latimer,(D),66.0,,,72.0,,
NY-17,Mike Lawler,(R),50.0,,,54.0,,
NY-18,Pat Ryan,(D),51.0,,,54.0,,
NY-19,Josh Riley,(D),50.0,,,51.0,,
NY-20,Paul Tonko,(D),56.0,,,59.0,,
NY-21,Elise Stefanik,(R),39.0,,,41.0,,
NY-22,John Mannion,(D),54.0,,,55.0,,
NY-23,Nick Langworthy,(R),39.0,,,40.0,,
NY-24,Claudia Tenney,(R),38.0,,,39.0,,
NY-25,Joe Morelle,(D),59.0,,,59.0,,
NY-26,Tim Kennedy,(D),59.0,,,62.0,,
OH-01,Greg Landsman,(D),53.0,,,53.0,,
OH-02,David Taylor,(R),26.0,,,27.0,,
OH-03,Joyce Beatty,(D),70.0,,,71.0,,
OH-04,Jim Jordan,(R),31.0,,,31.0,,
OH-05,Bob Latta,(R),35.0,,,36.0,,
OH-06,Michael Rulli,(R),33.0,,,35.0,,
OH-07,Max Miller,(R),44.0,,,45.0,,
OH-08,Warren Davidson,(R),38.0,,,38.0,,
OH-09,Marcy Kaptur,(D),46.0,,,48.0,,
OH-10,Mike Turner,(R),47.0,,,47.0,,
OH-11,Shontel Brown,(D),77.0,,,78.0,,
OH-12,Troy Balderson,(R),33.0,,,34.0,,
OH-13,Emilia Sykes,(D),49.569,,,51.0,,
OH-14,Dave Joyce,(R),41.0,,,42.0,,
OH-15,Mike Carey,(R),45.0,,,46.0,,
OK-01,Kevin Hern,(R),38.0,,,38.0,,
OK-02,Josh Brecheen,(R),21.0,,,22.0,,
OK-03,Frank Lucas,(R),26.0,,,27.0,,
OK-04,Tom Cole,(R),32.0,,,33.0,,
OK-05,Stephanie Bice,(R),40.0,,,40.0,,
OR-01,Suzanne Bonamici,(D),67.0,,,68.0,,
OR-02,Cliff Bentz,(R),35.0,,,37.0,,
OR-03,Maxine Dexter,(D),71.0,,,73.0,,
OR-04,Val Hoyle,(D),54.0,,,55.0,,
OR-05,Janelle Bynum,(D),53.0,,,53.0,,
OR-06,Andrea Salinas,(D),54.0,,,55.0,,
PA-01,Brian Fitzpatrick,(R),49.7,,,52.0,,
PA-02,Brendan Boyle,(D),67.0,,,71.0,,
PA-03,Dwight Evans,(D),88.0,,,90.0,,
PA-04,Madeleine Dean,(D),57.0,,,59.0,,
PA-05,Mary Gay Scanlon,(D),64.0,,,66.0,,
PA-06,Chrissy Houlahan,(D),55.0,,,57.0,,
PA-07,Ryan Mackenzie,(R),48.0,,,50.0,,
PA-08,Rob Bresnahan,(R),45.0,,,48.0,,
PA-09,Dan Meuser,(R),31.0,,,31.0,,
PA-10,Scott Perry,(R),47.0,,,47.0,,
PA-11,Lloyd Smucker,(R),39.0,,,39.0,,
PA-12,Summer Lee,(D),59.0,,,59.0,,
PA-13,John Joyce,(R),27.0,,,27.0,,
PA-14,Guy Reschenthaler,(R),33.0,,,34.0,,
PA-15,Glenn Thompson,(R),31.0,,,31.0,,
PA-16,Mike Kelly,(R),38.0,,,39.0,,
PA-17,Chris Deluzio,(D),52.0,,,52.0,,
RI-01,Gabe Amo,(D),60.0,,,64.0,,
RI-02,Seth Magaziner,(D),52.0,,,56.0,,
SC-01,Nancy Mace,(R),43.0,,,45.0,,
SC-02,Joe Wilson,(R),42.0,,,44.0,,
SC-03,Sheri Biggs,(R),28.0,,,31.0,,
SC-04,William Timmons,(R),37.0,,,40.0,,
SC-05,Ralph Norman,(R),38.0,,,40.0,,
SC-06,Jim Clyburn,(D),61.0,,,65.0,,
SC-07,Russell Fry,(R),36.0,,,40.0,,
SD-AL,Dusty Johnson,(R),34.0,,,36.0,,
TN-01,Diana Harshbarger,(R),21.0,,,22.0,,
TN-02,Tim Burchett,(R),32.0,,,34.0,,
TN-03,Chuck Fleischmann,(R),31.0,,,33.0,,
TN-04,Scott DesJarlais,(R),28.0,,,30.0,,
TN-05,Andy Ogles,(R),40.0,,,43.0,,
TN-06,John Rose,(R),32.0,,,34.0,,
TN-07,Matt Van Epps,(R),38.0,,,41.0,,
TN-08,David Kustoff,(R),29.0,,,31.0,,
TN-09,Steve Cohen,(D),71.0,,,73.0,,
TX-01,Nathaniel Moran,(R),24.0,,,26.0,,
TX-02,Dan Crenshaw,(R),38.0,,,38.0,,
TX-03,Keith Self,(R),39.0,,,42.0,,
TX-04,Pat Fallon,(R),33.0,,,36.0,,
TX-05,Lance Gooden,(R),36.0,,,38.0,,
TX-06,Jake Ellzey,(R),35.0,,,37.0,,
TX-07,Lizzie Fletcher,(D),59.0,,,64.0,,
TX-08,Morgan Luttrell,(R),32.0,,,36.0,,
TX-09,Al Green,(D),71.0,,,76.0,,
TX-10,Michael McCaul,(R),37.0,,,40.0,,
TX-11,August Pfluger,(R),27.0,,,29.0,,
TX-12,Craig Goldman,(R),38.0,,,40.0,,
TX-13,Ronny Jackson,(R),26.0,,,26.0,,
TX-14,Randy Weber,(R),32.0,,,35.0,,
TX-15,Monica De La Cruz,(R),41.0,,,48.0,,
TX-16,Veronica Escobar,(D),57.0,,,67.0,,
TX-17,Pete Sessions,(R),35.0,,,38.0,,
TX-18,Christian Menefee,(D),69.0,,,74.0,,
TX-19,Jodey Arrington,(R),24.0,,,26.0,,
TX-20,Joaquin Castro,(D),60.0,,,66.0,,
TX-21,Chip Roy,(R),38.0,,,39.0,,
TX-22,Troy Nehls,(R),39.0,,,41.0,,
TX-23,Tony Gonzales,(R),42.0,,,46.0,,
TX-24,Beth Van Duyne,(R),41.0,,,43.0,,
TX-25,Roger Williams,(R),31.0,,,34.0,,
TX-26,Brandon Gill,(R),38.0,,,40.0,,
TX-27,Michael Cloud,(R),35.0,,,38.0,,
TX-28,Henry Cuellar,(D),46.0,,,53.0,,
TX-29,Sylvia Garcia,(D),60.0,,,68.0,,
TX-30,Jasmine Crockett,(D),73.0,,,78.0,,
TX-31,John Carter,(R),38.0,,,39.0,,
TX-32,Julie Johnson,(D),61.0,,,66.0,,
TX-33,Marc Veasey,(D),66.0,,,74.0,,
TX-34,Vicente Gonzalez,(D),47.0,,,57.0,,
TX-35,Greg Casar,(D),66.0,,,72.0,,
TX-36,Brian Babin,(R),31.0,,,34.0,,
TX-37,Lloyd Doggett,(D),74.0,,,75.0,,
TX-38,Wesley Hunt,(R),39.0,,,40.0,,
UT-01,Blake Moore,(R),38.0,,,38.0,,
UT-02,Celeste Maloy,(R),39.0,,,40.0,,
UT-03,Mike Kennedy,(R),39.0,,,38.0,,
UT-04,Burgess Owens,(R),35.0,,,35.0,,
VA-01,Rob Wittman,(R),47.0,,,46.0,,
VA-02,Jen Kiggans,(R),49.3,,,50.0,,
VA-03,Bobby Scott,(D),67.0,,,68.0,,
VA-04,Jennifer McClellan,(D),66.0,,,67.0,,
VA-05,John McGuire,(R),43.0,,,45.0,,
VA-06,Ben Cline,(R),37.0,,,38.0,,
VA-07,Eugene Vindman,(D),51.0,,,53.0,,
VA-08,Don Beyer,(D),74.0,,,77.0,,
VA-09,Morgan Griffith,(R),28.0,,,28.0,,
VA-10,Suhas Subramanyam,(D),53.0,,,58.0,,
VA-11,James Walkinshaw,(D),66.0,,,70.0,,
VT-AL,Becca Balint,(D),64.0,,,66.0,,
WA-01,Suzan DelBene,(D),63.0,,,64.0,,
WA-02,Rick Larsen,(D),60.0,,,60.0,,
WA-03,Marie Gluesenkamp Perez,(D),47.0,,,47.0,,
WA-04,Dan Newhouse,(R),38.0,,,40.0,,
WA-05,Michael Baumgartner,(R),43.0,,,44.0,,
WA-06,Emily Randall,(D),58.0,,,57.0,,
WA-07,Pramila Jayapal,(D),86.0,,,87.0,,
WA-08,Kim Schrier,(D),51.0,,,52.0,,
WA-09,Adam Smith,(D),69.0,,,72.0,,
WA-10,Marilyn Strickland,(D),57.0,,,57.0,,
WI-01,Bryan Steil,(R),47.0,,,48.0,,
WI-02,Mark Pocan,(D),69.0,,,70.0,,
WI-03,Derrick Van Orden,(R),46.0,,,47.0,,
WI-04,Gwen Moore,(D),75.0,,,76.0,,
WI-05,Scott Fitzgerald,(R),38.0,,,38.0,,
WI-06,Glenn Grothman,(R),41.0,,,41.0,,
WI-07,Tom Tiffany,(R),38.0,,,39.0,,
WI-08,Tony Wied,(R),41.0,,,41.0,,
WV-01,Carol Miller,(R),27.0,,,29.0,,
WV-02,Riley Moore,(R),29.0,,,31.0,,
WY-AL,Harriet Hageman,(R),26.0,,,27.0,,
